,No,Year,Material,Type,Coat,Surface_Charge,Diameter (nm),Cell_Type,Human_Animal,Cell_Age,Cell Line_Primary Cell,Time (hr),Concentration (ug/ml),Cell_Viability (%),DOI
1976,1977,2012,CuO,I,None,unknown,40,A549,H,Adult,L,24,5,100,10.3109/17435390.2011.625127
1977,1978,2012,CuO,I,None,unknown,40,A549,H,Adult,L,24,10,102.87,10.3109/17435390.2011.625127
1978,1979,2012,CuO,I,None,unknown,40,A549,H,Adult,L,24,25,94.702,10.3109/17435390.2011.625127
1979,1980,2012,CuO,I,None,unknown,40,A549,H,Adult,L,24,50,85.872,10.3109/17435390.2011.625127
1980,1981,2012,CuO,I,None,unknown,40,A549,H,Adult,L,24,100,52.759,10.3109/17435390.2011.625127
1981,1982,2012,CuO,I,None,unknown,10,A549,H,Adult,L,24,5,103.31,10.3109/17435390.2011.625127
1982,1983,2012,CuO,I,None,unknown,10,A549,H,Adult,L,24,10,98.455,10.3109/17435390.2011.625127
1983,1984,2012,CuO,I,None,unknown,10,A549,H,Adult,L,24,25,84.768,10.3109/17435390.2011.625127
1984,1985,2012,CuO,I,None,unknown,10,A549,H,Adult,L,24,50,56.291,10.3109/17435390.2011.625127
1985,1986,2012,CuO,I,None,unknown,10,A549,H,Adult,L,24,100,15.011,10.3109/17435390.2011.625127
2231,2232,2018,Au,I,Citrate,Negative,14.5,PBMC,H,Adult,P,24,15,71.03,10.1007/s11051-018-4406-0
2232,2233,2018,Au,I,CyA,Positive,6.5,PBMC,H,Adult,P,24,15,75.567,10.1007/s11051-018-4406-0
2233,2234,2018,Au,I,GSH,Negative,3.8,PBMC,H,Adult,P,24,15,72.251,10.1007/s11051-018-4406-0
2234,2235,2018,Au,I,Citrate,Negative,7,PBMC,H,Adult,P,24,15,83.072,10.1007/s11051-018-4406-0
2235,2236,2018,Au,I,Citrate,Negative,14.5,PBMC,H,Adult,P,24,1.5,87.053,10.1007/s11051-018-4406-0
2236,2237,2018,Au,I,CyA,Positive,6.5,PBMC,H,Adult,P,24,1.5,99.319,10.1007/s11051-018-4406-0
2237,2238,2018,Au,I,GSH,Negative,3.8,PBMC,H,Adult,P,24,1.5,102.21,10.1007/s11051-018-4406-0
2238,2239,2018,Au,I,Citrate,Negative,7,PBMC,H,Adult,P,24,1.5,85.349,10.1007/s11051-018-4406-0
2239,2240,2018,Au,I,Citrate,Negative,14.5,Jurkat,H,Adult,L,24,15,93.309,10.1007/s11051-018-4406-0
2240,2241,2018,Au,I,CyA,Positive,6.5,Jurkat,H,Adult,L,24,15,83.457,10.1007/s11051-018-4406-0
2241,2242,2018,Au,I,GSH,Negative,3.8,Jurkat,H,Adult,L,24,15,47.026,10.1007/s11051-018-4406-0
2242,2243,2018,Au,I,Citrate,Negative,7,Jurkat,H,Adult,L,24,15,56.506,10.1007/s11051-018-4406-0
2243,2244,2018,Au,I,Citrate,Negative,14.5,Jurkat,H,Adult,L,24,1.5,99.13,10.1007/s11051-018-4406-0
2244,2245,2018,Au,I,CyA,Positive,6.5,Jurkat,H,Adult,L,24,1.5,94.261,10.1007/s11051-018-4406-0
2245,2246,2018,Au,I,GSH,Negative,3.8,Jurkat,H,Adult,L,24,1.5,89.391,10.1007/s11051-018-4406-0
2246,2247,2018,Au,I,Citrate,Negative,7,Jurkat,H,Adult,L,24,1.5,89.391,10.1007/s11051-018-4406-0
2247,2248,2019,Au,I,None,Negative,5,HepG2,H,Adult,L,72,1.67,102.43,10.2147/IJN.S214008
2248,2249,2019,Au,I,None,Negative,5,HepG2,H,Adult,L,72,2.5,109.53,10.2147/IJN.S214008
2249,2250,2019,Au,I,None,Negative,5,HepG2,H,Adult,L,72,5,116.63,10.2147/IJN.S214008
2250,2251,2019,Au,I,None,Negative,5,HepG2,H,Adult,L,72,6.25,106.09,10.2147/IJN.S214008
2251,2252,2019,Au,I,None,Negative,5,HepG2,H,Adult,L,72,12.5,81.47,10.2147/IJN.S214008
2252,2253,2019,Au,I,None,Negative,20,HepG2,H,Adult,L,72,1.67,98.377,10.2147/IJN.S214008
2253,2254,2019,Au,I,None,Negative,20,HepG2,H,Adult,L,72,2.5,101.01,10.2147/IJN.S214008
2254,2255,2019,Au,I,None,Negative,20,HepG2,H,Adult,L,72,5,106.49,10.2147/IJN.S214008
2255,2256,2019,Au,I,None,Negative,20,HepG2,H,Adult,L,72,6.25,107.91,10.2147/IJN.S214008
2256,2257,2019,Au,I,None,Negative,20,HepG2,H,Adult,L,72,12.5,98.377,10.2147/IJN.S214008
2257,2258,2019,Au,I,None,Negative,50,HepG2,H,Adult,L,72,1.67,102.43,10.2147/IJN.S214008
2258,2259,2019,Au,I,None,Negative,50,HepG2,H,Adult,L,72,2.5,102.43,10.2147/IJN.S214008
2259,2260,2019,Au,I,None,Negative,50,HepG2,H,Adult,L,72,5,102.03,10.2147/IJN.S214008
2260,2261,2019,Au,I,None,Negative,50,HepG2,H,Adult,L,72,6.25,98.377,10.2147/IJN.S214008
2261,2262,2019,Au,I,None,Negative,50,HepG2,H,Adult,L,72,12.5,96.349,10.2147/IJN.S214008
2262,2263,2019,Au,I,None,Negative,5,L-02,H,Embryonic,L,72,1.67,73.333,10.2147/IJN.S214008
2263,2264,2019,Au,I,None,Negative,5,L-02,H,Embryonic,L,72,2.5,33.725,10.2147/IJN.S214008
2264,2265,2019,Au,I,None,Negative,5,L-02,H,Embryonic,L,72,5,20.784,10.2147/IJN.S214008
2265,2266,2019,Au,I,None,Negative,5,L-02,H,Embryonic,L,72,6.25,10,10.2147/IJN.S214008
2266,2267,2019,Au,I,None,Negative,5,L-02,H,Embryonic,L,72,12.5,6.6667,10.2147/IJN.S214008
2267,2268,2019,Au,I,None,Negative,20,L-02,H,Embryonic,L,72,1.67,92.745,10.2147/IJN.S214008
2268,2269,2019,Au,I,None,Negative,20,L-02,H,Embryonic,L,72,2.5,92.549,10.2147/IJN.S214008
2269,2270,2019,Au,I,None,Negative,20,L-02,H,Embryonic,L,72,5,93.137,10.2147/IJN.S214008
2270,2271,2019,Au,I,None,Negative,20,L-02,H,Embryonic,L,72,6.25,91.569,10.2147/IJN.S214008
2271,2272,2019,Au,I,None,Negative,20,L-02,H,Embryonic,L,72,12.5,94.706,10.2147/IJN.S214008
2272,2273,2019,Au,I,None,Negative,50,L-02,H,Embryonic,L,72,1.67,99.216,10.2147/IJN.S214008
2273,2274,2019,Au,I,None,Negative,50,L-02,H,Embryonic,L,72,2.5,96.078,10.2147/IJN.S214008
2274,2275,2019,Au,I,None,Negative,50,L-02,H,Embryonic,L,72,5,95.686,10.2147/IJN.S214008
2275,2276,2019,Au,I,None,Negative,50,L-02,H,Embryonic,L,72,6.25,96.471,10.2147/IJN.S214008
2276,2277,2019,Au,I,None,Negative,50,L-02,H,Embryonic,L,72,12.5,93.137,10.2147/IJN.S214008
2277,2278,2014,Au,I,Citrate,unknown,5,A549,H,Adult,L,24,50,99.758,10.1371/journal.pone.0099175
2278,2279,2014,Au,I,Citrate,unknown,10,A549,H,Adult,L,24,50,102.17,10.1371/journal.pone.0099175
2279,2280,2014,Au,I,Citrate,unknown,20,A549,H,Adult,L,24,50,107.97,10.1371/journal.pone.0099175
2280,2281,2014,Au,I,Citrate,unknown,40,A549,H,Adult,L,24,50,113.53,10.1371/journal.pone.0099175
2281,2282,2014,Au,I,Citrate,unknown,5,A549,H,Adult,L,48,50,85.99,10.1371/journal.pone.0099175
2282,2283,2014,Au,I,Citrate,unknown,10,A549,H,Adult,L,48,50,102.17,10.1371/journal.pone.0099175
2283,2284,2014,Au,I,Citrate,unknown,20,A549,H,Adult,L,48,50,105.31,10.1371/journal.pone.0099175
2284,2285,2014,Au,I,Citrate,unknown,40,A549,H,Adult,L,48,50,112.56,10.1371/journal.pone.0099175
2285,2286,2014,Au,I,Citrate,unknown,5,A549,H,Adult,L,72,50,70.29,10.1371/journal.pone.0099175
2286,2287,2014,Au,I,Citrate,unknown,10,A549,H,Adult,L,72,50,100.97,10.1371/journal.pone.0099175
2287,2288,2014,Au,I,Citrate,unknown,20,A549,H,Adult,L,72,50,107.73,10.1371/journal.pone.0099175
2288,2289,2014,Au,I,Citrate,unknown,40,A549,H,Adult,L,72,50,117.63,10.1371/journal.pone.0099175
2289,2290,2014,Au,I,Citrate,unknown,5,95D,H,Adult,L,24,50,62.53,10.1371/journal.pone.0099175
2290,2291,2014,Au,I,Citrate,unknown,10,95D,H,Adult,L,24,50,106.21,10.1371/journal.pone.0099175
2291,2292,2014,Au,I,Citrate,unknown,20,95D,H,Adult,L,24,50,108.59,10.1371/journal.pone.0099175
2292,2293,2014,Au,I,Citrate,unknown,40,95D,H,Adult,L,24,50,108.59,10.1371/journal.pone.0099175
2293,2294,2014,Au,I,Citrate,unknown,5,95D,H,Adult,L,48,50,63.246,10.1371/journal.pone.0099175
2294,2295,2014,Au,I,Citrate,unknown,10,95D,H,Adult,L,48,50,102.63,10.1371/journal.pone.0099175
2295,2296,2014,Au,I,Citrate,unknown,20,95D,H,Adult,L,48,50,107.88,10.1371/journal.pone.0099175
2296,2297,2014,Au,I,Citrate,unknown,40,95D,H,Adult,L,48,50,106.44,10.1371/journal.pone.0099175
2297,2298,2014,Au,I,Citrate,unknown,5,95D,H,Adult,L,72,50,65.394,10.1371/journal.pone.0099175
2298,2299,2014,Au,I,Citrate,unknown,10,95D,H,Adult,L,72,50,99.523,10.1371/journal.pone.0099175
2299,2300,2014,Au,I,Citrate,unknown,20,95D,H,Adult,L,72,50,103.1,10.1371/journal.pone.0099175
2300,2301,2014,Au,I,Citrate,unknown,40,95D,H,Adult,L,72,50,105.49,10.1371/journal.pone.0099175
2560,2561,2018,IronOxide,I,PEI,Positive,10,RAW264.7,A,Adult,L,48,3.125,98.282,10.1038/s41598-018-19628-z
2561,2562,2018,IronOxide,I,PEI,Positive,10,RAW264.7,A,Adult,L,48,6.25,82.646,10.1038/s41598-018-19628-z
2562,2563,2018,IronOxide,I,PEI,Positive,10,RAW264.7,A,Adult,L,48,12.5,15.636,10.1038/s41598-018-19628-z
2563,2564,2018,IronOxide,I,PEI,Positive,10,RAW264.7,A,Adult,L,48,25,5.4983,10.1038/s41598-018-19628-z
2564,2565,2018,IronOxide,I,PEI,Positive,10,RAW264.7,A,Adult,L,48,50,2.921,10.1038/s41598-018-19628-z
2565,2566,2018,IronOxide,I,PEI,Positive,10,RAW264.7,A,Adult,L,48,100,1.2027,10.1038/s41598-018-19628-z
2566,2567,2018,IronOxide,I,PEG,Neutral,10,RAW264.7,A,Adult,L,48,3.125,100.86,10.1038/s41598-018-19628-z
2567,2568,2018,IronOxide,I,PEG,Neutral,10,RAW264.7,A,Adult,L,48,6.25,101.89,10.1038/s41598-018-19628-z
2568,2569,2018,IronOxide,I,PEG,Neutral,10,RAW264.7,A,Adult,L,48,12.5,103.78,10.1038/s41598-018-19628-z
2569,2570,2018,IronOxide,I,PEG,Neutral,10,RAW264.7,A,Adult,L,48,25,101.2,10.1038/s41598-018-19628-z
2570,2571,2018,IronOxide,I,PEG,Neutral,10,RAW264.7,A,Adult,L,48,50,83.333,10.1038/s41598-018-19628-z
2571,2572,2018,IronOxide,I,PEG,Neutral,10,RAW264.7,A,Adult,L,48,100,56.701,10.1038/s41598-018-19628-z
2572,2573,2018,IronOxide,I,PEG,Neutral,30,RAW264.7,A,Adult,L,48,3.125,97.595,10.1038/s41598-018-19628-z
2573,2574,2018,IronOxide,I,PEG,Neutral,30,RAW264.7,A,Adult,L,48,6.25,97.079,10.1038/s41598-018-19628-z
2574,2575,2018,IronOxide,I,PEG,Neutral,30,RAW264.7,A,Adult,L,48,12.5,103.26,10.1038/s41598-018-19628-z
2575,2576,2018,IronOxide,I,PEG,Neutral,30,RAW264.7,A,Adult,L,48,25,107.73,10.1038/s41598-018-19628-z
2576,2577,2018,IronOxide,I,PEG,Neutral,30,RAW264.7,A,Adult,L,48,50,88.144,10.1038/s41598-018-19628-z
2577,2578,2018,IronOxide,I,PEG,Neutral,30,RAW264.7,A,Adult,L,48,100,73.196,10.1038/s41598-018-19628-z
2578,2579,2018,IronOxide,I,PEI,Positive,10,SKOV-3,H,Adult,L,48,3.125,70.872,10.1038/s41598-018-19628-z
2579,2580,2018,IronOxide,I,PEI,Positive,10,SKOV-3,H,Adult,L,48,6.25,8.9054,10.1038/s41598-018-19628-z
2580,2581,2018,IronOxide,I,PEI,Positive,10,SKOV-3,H,Adult,L,48,12.5,7.0501,10.1038/s41598-018-19628-z
2581,2582,2018,IronOxide,I,PEI,Positive,10,SKOV-3,H,Adult,L,48,25,3.525,10.1038/s41598-018-19628-z
2582,2583,2018,IronOxide,I,PEI,Positive,10,SKOV-3,H,Adult,L,48,50,2.7829,10.1038/s41598-018-19628-z
2583,2584,2018,IronOxide,I,PEI,Positive,10,SKOV-3,H,Adult,L,48,100,1.4842,10.1038/s41598-018-19628-z
2584,2585,2018,IronOxide,I,PEG,Neutral,10,SKOV-3,H,Adult,L,48,3.125,101.11,10.1038/s41598-018-19628-z
2585,2586,2018,IronOxide,I,PEG,Neutral,10,SKOV-3,H,Adult,L,48,6.25,102.23,10.1038/s41598-018-19628-z
2586,2587,2018,IronOxide,I,PEG,Neutral,10,SKOV-3,H,Adult,L,48,12.5,105.38,10.1038/s41598-018-19628-z
2587,2588,2018,IronOxide,I,PEG,Neutral,10,SKOV-3,H,Adult,L,48,25,91.466,10.1038/s41598-018-19628-z
2588,2589,2018,IronOxide,I,PEG,Neutral,10,SKOV-3,H,Adult,L,48,50,77.922,10.1038/s41598-018-19628-z
2589,2590,2018,IronOxide,I,PEG,Neutral,10,SKOV-3,H,Adult,L,48,100,56.215,10.1038/s41598-018-19628-z
2590,2591,2018,IronOxide,I,PEG,Neutral,30,SKOV-3,H,Adult,L,48,3.125,98.33,10.1038/s41598-018-19628-z
2591,2592,2018,IronOxide,I,PEG,Neutral,30,SKOV-3,H,Adult,L,48,6.25,99.629,10.1038/s41598-018-19628-z
2592,2593,2018,IronOxide,I,PEG,Neutral,30,SKOV-3,H,Adult,L,48,12.5,100,10.1038/s41598-018-19628-z
2593,2594,2018,IronOxide,I,PEG,Neutral,30,SKOV-3,H,Adult,L,48,25,98.887,10.1038/s41598-018-19628-z
2594,2595,2018,IronOxide,I,PEG,Neutral,30,SKOV-3,H,Adult,L,48,50,82.56,10.1038/s41598-018-19628-z
2595,2596,2018,IronOxide,I,PEG,Neutral,30,SKOV-3,H,Adult,L,48,100,66.605,10.1038/s41598-018-19628-z
2614,2615,2011,CuO,I,None,Positive,46.3,HCMEC,H,Adult,P,12,0.001,98.02,10.1007/s10565-011-9191-9
2615,2616,2011,CuO,I,None,Positive,46.3,HCMEC,H,Adult,P,12,0.01,95.71,10.1007/s10565-011-9191-9
2616,2617,2011,CuO,I,None,Positive,46.3,HCMEC,H,Adult,P,12,0.1,96.04,10.1007/s10565-011-9191-9
2617,2618,2011,CuO,I,None,Positive,46.3,HCMEC,H,Adult,P,12,1,99.01,10.1007/s10565-011-9191-9
2618,2619,2011,CuO,I,None,Positive,46.3,HCMEC,H,Adult,P,12,5,82.838,10.1007/s10565-011-9191-9
2619,2620,2011,CuO,I,None,Positive,46.3,HCMEC,H,Adult,P,12,10,63.366,10.1007/s10565-011-9191-9
2620,2621,2011,CuO,I,None,Positive,46.3,HCMEC,H,Adult,P,12,20,45.215,10.1007/s10565-011-9191-9
2621,2622,2011,CuO,I,None,Positive,46.3,HCMEC,H,Adult,P,12,50,16.172,10.1007/s10565-011-9191-9
2622,2623,2011,CuO,I,None,Positive,46.3,HCMEC,H,Adult,P,12,100,14.191,10.1007/s10565-011-9191-9
2632,2633,2011,IronOxide,I,None,Negative,42.5,HCMEC,H,Adult,P,12,0.001,95.066,10.1007/s10565-011-9191-9
2633,2634,2011,IronOxide,I,None,Negative,42.5,HCMEC,H,Adult,P,12,0.01,95.066,10.1007/s10565-011-9191-9
2634,2635,2011,IronOxide,I,None,Negative,42.5,HCMEC,H,Adult,P,12,0.1,97.039,10.1007/s10565-011-9191-9
2635,2636,2011,IronOxide,I,None,Negative,42.5,HCMEC,H,Adult,P,12,1,97.039,10.1007/s10565-011-9191-9
2636,2637,2011,IronOxide,I,None,Negative,42.5,HCMEC,H,Adult,P,12,5,99.013,10.1007/s10565-011-9191-9
2637,2638,2011,IronOxide,I,None,Negative,42.5,HCMEC,H,Adult,P,12,10,99.013,10.1007/s10565-011-9191-9
2638,2639,2011,IronOxide,I,None,Negative,42.5,HCMEC,H,Adult,P,12,20,96.711,10.1007/s10565-011-9191-9
2639,2640,2011,IronOxide,I,None,Negative,42.5,HCMEC,H,Adult,P,12,50,98.355,10.1007/s10565-011-9191-9
2640,2641,2011,IronOxide,I,None,Negative,42.5,HCMEC,H,Adult,P,12,100,95.724,10.1007/s10565-011-9191-9
2641,2642,2011,IronOxide,I,None,Positive,46.8,HCMEC,H,Adult,P,12,0.001,99.013,10.1007/s10565-011-9191-9
2642,2643,2011,IronOxide,I,None,Positive,46.8,HCMEC,H,Adult,P,12,0.01,95.395,10.1007/s10565-011-9191-9
2643,2644,2011,IronOxide,I,None,Positive,46.8,HCMEC,H,Adult,P,12,0.1,98.355,10.1007/s10565-011-9191-9
2644,2645,2011,IronOxide,I,None,Positive,46.8,HCMEC,H,Adult,P,12,1,100.33,10.1007/s10565-011-9191-9
2645,2646,2011,IronOxide,I,None,Positive,46.8,HCMEC,H,Adult,P,12,5,97.039,10.1007/s10565-011-9191-9
2646,2647,2011,IronOxide,I,None,Positive,46.8,HCMEC,H,Adult,P,12,10,100,10.1007/s10565-011-9191-9
2647,2648,2011,IronOxide,I,None,Positive,46.8,HCMEC,H,Adult,P,12,20,97.039,10.1007/s10565-011-9191-9
2648,2649,2011,IronOxide,I,None,Positive,46.8,HCMEC,H,Adult,P,12,50,99.013,10.1007/s10565-011-9191-9
2649,2650,2011,IronOxide,I,None,Positive,46.8,HCMEC,H,Adult,P,12,100,97.039,10.1007/s10565-011-9191-9
2668,2669,2011,CuO,I,None,Positive,46.3,HCMEC,H,Adult,P,24,0.001,95.738,10.1007/s10565-011-9191-9
2669,2670,2011,CuO,I,None,Positive,46.3,HCMEC,H,Adult,P,24,0.01,99.672,10.1007/s10565-011-9191-9
2670,2671,2011,CuO,I,None,Positive,46.3,HCMEC,H,Adult,P,24,0.1,95.082,10.1007/s10565-011-9191-9
2671,2672,2011,CuO,I,None,Positive,46.3,HCMEC,H,Adult,P,24,1,96.066,10.1007/s10565-011-9191-9
2672,2673,2011,CuO,I,None,Positive,46.3,HCMEC,H,Adult,P,24,5,74.754,10.1007/s10565-011-9191-9
2673,2674,2011,CuO,I,None,Positive,46.3,HCMEC,H,Adult,P,24,10,42.951,10.1007/s10565-011-9191-9
2674,2675,2011,CuO,I,None,Positive,46.3,HCMEC,H,Adult,P,24,20,14.426,10.1007/s10565-011-9191-9
2675,2676,2011,CuO,I,None,Positive,46.3,HCMEC,H,Adult,P,24,50,12.787,10.1007/s10565-011-9191-9
2676,2677,2011,CuO,I,None,Positive,46.3,HCMEC,H,Adult,P,24,100,12.787,10.1007/s10565-011-9191-9
2686,2687,2011,IronOxide,I,None,Negative,42.5,HCMEC,H,Adult,P,24,0.001,95.738,10.1007/s10565-011-9191-9
2687,2688,2011,IronOxide,I,None,Negative,42.5,HCMEC,H,Adult,P,24,0.01,96.721,10.1007/s10565-011-9191-9
2688,2689,2011,IronOxide,I,None,Negative,42.5,HCMEC,H,Adult,P,24,0.1,98.033,10.1007/s10565-011-9191-9
2689,2690,2011,IronOxide,I,None,Negative,42.5,HCMEC,H,Adult,P,24,1,93.77,10.1007/s10565-011-9191-9
2690,2691,2011,IronOxide,I,None,Negative,42.5,HCMEC,H,Adult,P,24,5,88.525,10.1007/s10565-011-9191-9
2691,2692,2011,IronOxide,I,None,Negative,42.5,HCMEC,H,Adult,P,24,10,88.852,10.1007/s10565-011-9191-9
2692,2693,2011,IronOxide,I,None,Negative,42.5,HCMEC,H,Adult,P,24,20,92.131,10.1007/s10565-011-9191-9
2693,2694,2011,IronOxide,I,None,Negative,42.5,HCMEC,H,Adult,P,24,50,92.131,10.1007/s10565-011-9191-9
2694,2695,2011,IronOxide,I,None,Negative,42.5,HCMEC,H,Adult,P,24,100,89.508,10.1007/s10565-011-9191-9
2695,2696,2011,IronOxide,I,None,Positive,46.8,HCMEC,H,Adult,P,24,0.001,98.689,10.1007/s10565-011-9191-9
2696,2697,2011,IronOxide,I,None,Positive,46.8,HCMEC,H,Adult,P,24,0.01,100.66,10.1007/s10565-011-9191-9
2697,2698,2011,IronOxide,I,None,Positive,46.8,HCMEC,H,Adult,P,24,0.1,92.787,10.1007/s10565-011-9191-9
2698,2699,2011,IronOxide,I,None,Positive,46.8,HCMEC,H,Adult,P,24,1,95.738,10.1007/s10565-011-9191-9
2699,2700,2011,IronOxide,I,None,Positive,46.8,HCMEC,H,Adult,P,24,5,91.148,10.1007/s10565-011-9191-9
2700,2701,2011,IronOxide,I,None,Positive,46.8,HCMEC,H,Adult,P,24,10,92.787,10.1007/s10565-011-9191-9
2701,2702,2011,IronOxide,I,None,Positive,46.8,HCMEC,H,Adult,P,24,20,89.18,10.1007/s10565-011-9191-9
2702,2703,2011,IronOxide,I,None,Positive,46.8,HCMEC,H,Adult,P,24,50,89.18,10.1007/s10565-011-9191-9
2703,2704,2011,IronOxide,I,None,Positive,46.8,HCMEC,H,Adult,P,24,100,92.787,10.1007/s10565-011-9191-9
2849,2850,2010,IronOxide,I,Tween80,unknown,-,J774A.1,A,Adult,L,3,25,100,10.2147/IJN.S13244
2850,2851,2010,IronOxide,I,Tween80,unknown,-,J774A.1,A,Adult,L,3,100,92.517,10.2147/IJN.S13244
2851,2852,2010,IronOxide,I,Tween80,unknown,-,J774A.1,A,Adult,L,3,200,98.413,10.2147/IJN.S13244
2852,2853,2010,IronOxide,I,Tween80,unknown,-,J774A.1,A,Adult,L,3,300,89.569,10.2147/IJN.S13244
2853,2854,2010,IronOxide,I,Tween80,unknown,-,J774A.1,A,Adult,L,3,400,93.424,10.2147/IJN.S13244
2854,2855,2010,IronOxide,I,Tween80,unknown,-,J774A.1,A,Adult,L,3,500,74.376,10.2147/IJN.S13244
2855,2856,2010,IronOxide,I,Tween80,unknown,-,J774A.1,A,Adult,L,6,25,95.465,10.2147/IJN.S13244
2856,2857,2010,IronOxide,I,Tween80,unknown,-,J774A.1,A,Adult,L,6,100,92.971,10.2147/IJN.S13244
2857,2858,2010,IronOxide,I,Tween80,unknown,-,J774A.1,A,Adult,L,6,200,68.934,10.2147/IJN.S13244
2858,2859,2010,IronOxide,I,Tween80,unknown,-,J774A.1,A,Adult,L,6,300,52.834,10.2147/IJN.S13244
2859,2860,2010,IronOxide,I,Tween80,unknown,-,J774A.1,A,Adult,L,6,400,63.946,10.2147/IJN.S13244
2860,2861,2010,IronOxide,I,Tween80,unknown,-,J774A.1,A,Adult,L,6,500,60.317,10.2147/IJN.S13244
2922,2923,2015,Au,I,None,Negative,61.46,CCL-110,H,Fetus,L,24,0.2,46.853,10.1002/jbm.a.35491
2923,2924,2015,Au,I,None,Negative,61.46,CCL-110,H,Fetus,L,24,0.4,71.562,10.1002/jbm.a.35491
2924,2925,2015,Au,I,None,Negative,61.46,CCL-110,H,Fetus,L,24,2,75.524,10.1002/jbm.a.35491
2925,2926,2015,Au,I,None,Negative,61.46,CCL-110,H,Fetus,L,24,4,79.487,10.1002/jbm.a.35491
2926,2927,2015,Au,I,None,Negative,61.46,CCL-110,H,Fetus,L,24,20,72.494,10.1002/jbm.a.35491
2927,2928,2015,Au,I,None,Negative,61.46,CCL-110,H,Fetus,L,24,40,2.0979,10.1002/jbm.a.35491
2928,2929,2015,Au,I,None,Negative,61.46,CCL-110,H,Fetus,L,96,0.2,86.247,10.1002/jbm.a.35491
2929,2930,2015,Au,I,None,Negative,61.46,CCL-110,H,Fetus,L,96,0.4,59.441,10.1002/jbm.a.35491
2930,2931,2015,Au,I,None,Negative,61.46,CCL-110,H,Fetus,L,96,2,81.818,10.1002/jbm.a.35491
2931,2932,2015,Au,I,None,Negative,61.46,CCL-110,H,Fetus,L,96,4,84.149,10.1002/jbm.a.35491
2932,2933,2015,Au,I,None,Negative,61.46,CCL-110,H,Fetus,L,96,20,82.284,10.1002/jbm.a.35491
2933,2934,2015,Au,I,None,Negative,61.46,CCL-110,H,Fetus,L,96,40,-1.3986,10.1002/jbm.a.35491
2934,2935,2015,Au,I,None,Negative,61.46,RFPEC,A,Adult,L,24,0.2,99.394,10.1002/jbm.a.35491
2935,2936,2015,Au,I,None,Negative,61.46,RFPEC,A,Adult,L,24,0.4,81.212,10.1002/jbm.a.35491
2936,2937,2015,Au,I,None,Negative,61.46,RFPEC,A,Adult,L,24,2,94.242,10.1002/jbm.a.35491
2937,2938,2015,Au,I,None,Negative,61.46,RFPEC,A,Adult,L,24,4,90.303,10.1002/jbm.a.35491
2938,2939,2015,Au,I,None,Negative,61.46,RFPEC,A,Adult,L,24,20,23.03,10.1002/jbm.a.35491
2939,2940,2015,Au,I,None,Negative,61.46,RFPEC,A,Adult,L,24,40,1.2121,10.1002/jbm.a.35491
2940,2941,2015,Au,I,None,Negative,61.46,RFPEC,A,Adult,L,96,0.2,120,10.1002/jbm.a.35491
2941,2942,2015,Au,I,None,Negative,61.46,RFPEC,A,Adult,L,96,0.4,119.7,10.1002/jbm.a.35491
2942,2943,2015,Au,I,None,Negative,61.46,RFPEC,A,Adult,L,96,2,109.39,10.1002/jbm.a.35491
2943,2944,2015,Au,I,None,Negative,61.46,RFPEC,A,Adult,L,96,4,118.79,10.1002/jbm.a.35491
2944,2945,2015,Au,I,None,Negative,61.46,RFPEC,A,Adult,L,96,20,6.6667,10.1002/jbm.a.35491
2945,2946,2015,Au,I,None,Negative,61.46,RFPEC,A,Adult,L,96,40,1.2121,10.1002/jbm.a.35491
2946,2947,2015,Au,I,None,Negative,33.69,CCL-110,H,Fetus,L,24,0.2,108.99,10.1002/jbm.a.35491
2947,2948,2015,Au,I,None,Negative,33.69,CCL-110,H,Fetus,L,24,0.4,135.36,10.1002/jbm.a.35491
2948,2949,2015,Au,I,None,Negative,33.69,CCL-110,H,Fetus,L,24,2,131.59,10.1002/jbm.a.35491
2949,2950,2015,Au,I,None,Negative,33.69,CCL-110,H,Fetus,L,24,4,153.91,10.1002/jbm.a.35491
2950,2951,2015,Au,I,None,Negative,33.69,CCL-110,H,Fetus,L,24,20,145.22,10.1002/jbm.a.35491
2951,2952,2015,Au,I,None,Negative,33.69,CCL-110,H,Fetus,L,24,40,140,10.1002/jbm.a.35491
2952,2953,2015,Au,I,None,Negative,33.69,CCL-110,H,Fetus,L,24,200,137.68,10.1002/jbm.a.35491
2953,2954,2015,Au,I,None,Negative,33.69,CCL-110,H,Fetus,L,24,400,128.7,10.1002/jbm.a.35491
2954,2955,2015,Au,I,None,Negative,33.69,CCL-110,H,Fetus,L,96,0.2,78.261,10.1002/jbm.a.35491
2955,2956,2015,Au,I,None,Negative,33.69,CCL-110,H,Fetus,L,96,0.4,78.551,10.1002/jbm.a.35491
2956,2957,2015,Au,I,None,Negative,33.69,CCL-110,H,Fetus,L,96,2,88.406,10.1002/jbm.a.35491
2957,2958,2015,Au,I,None,Negative,33.69,CCL-110,H,Fetus,L,96,4,92.174,10.1002/jbm.a.35491
2958,2959,2015,Au,I,None,Negative,33.69,CCL-110,H,Fetus,L,96,20,99.13,10.1002/jbm.a.35491
2959,2960,2015,Au,I,None,Negative,33.69,CCL-110,H,Fetus,L,96,40,98.841,10.1002/jbm.a.35491
2960,2961,2015,Au,I,None,Negative,33.69,CCL-110,H,Fetus,L,96,200,94.203,10.1002/jbm.a.35491
